ix,Source,Target,count
0,Adam Boyton,Anthony Albanese,1
1,Adam Boyton,Dame Quentin Bryce,1
2,Adam Boyton,Gail Kelly,1
3,Adam Boyton,Julia Gillard,1
4,Adam Boyton,Justice Susan Kiefel,1
5,Adam Boyton,Luci Ellis,1
6,Adam Boyton,Michele Bullock,1
7,Adam Boyton,Philip Lowe,1
8,Alan Tudge,Alex Hawke,2
9,Alan Tudge,Andrew Hirst,2
10,Alan Tudge,Anthony Albanese,2
11,Alan Tudge,Cameron Caldwell,2
12,Alan Tudge,Jason Falinski,2
13,Alan Tudge,Jeremy Rockliff,2
14,Alan Tudge,John Olsen,2
15,Alan Tudge,John Pesutto,2
16,Alan Tudge,Kevin Bonham,2
17,Alan Tudge,Mary Doyle,2
18,Alan Tudge,Scott Morrison,2
19,Alex Carey,Ben Stokes,1
20,Alex Carey,Cameron Bancroft,1
21,Alex Carey,Chris Woakes,1
22,Alex Carey,David Warner,1
23,Alex Carey,Mark Wood,1
24,Alex Carey,Shah Rukh Khan,1
25,Alex Carey,Steve Smith,1
26,Alex Hawke,Andrew Hirst,2
27,Alex Hawke,Jason Falinski,2
28,Alex Hawke,Jeremy Rockliff,2
29,Alex Hawke,John Olsen,2
30,Alex Hawke,John Pesutto,2
31,Alex Hawke,Scott Morrison,2
32,Ali Alatas,Evelyn Goh,1
33,Ali Alatas,Hasjim Djalal,1
34,Ali Alatas,Khong Yuen Foong,1
35,Ali Alatas,Noordin Sopiee,1
36,Ali Alatas,Paul Evans,1
37,Ali Alatas,Ralph Cossa,1
38,Ali Alatas,Rizal Sukma,1
39,America Atlantic,America Pacific,3
40,America Atlantic,Anthony Albanese,3
41,America Atlantic,Celia Mendoza,2
42,America Atlantic,Chris Hipkins,3
43,America Atlantic,Fumio Kishida,3
44,America Atlantic,Jens Stoltenberg,3
45,America Atlantic,Joe Biden,3
46,America Atlantic,Jorge Agobian,2
47,America Atlantic,Mark Kennedy,3
48,America Atlantic,Wang Wenbin,3
49,America Atlantic,Yoon Suk Yeol,3
50,America Pacific,Anthony Albanese,3
51,America Pacific,Celia Mendoza,2
52,America Pacific,Chris Hipkins,3
53,America Pacific,Fumio Kishida,3
54,America Pacific,Jens Stoltenberg,3
55,America Pacific,Joe Biden,3
56,America Pacific,Jorge Agobian,2
57,America Pacific,Mark Kennedy,3
58,America Pacific,Wang Wenbin,3
59,America Pacific,Yoon Suk Yeol,3
60,Andrew Bragg,Adam Boyton,1
61,Andrew Bragg,Bob Johnston,1
62,Andrew Bragg,Dame Quentin Bryce,1
63,Andrew Bragg,Gail Kelly,1
64,Andrew Bragg,Glenn Stevens,1
65,Andrew Bragg,Harry Knight,1
66,Andrew Bragg,Ian Macfarlane,1
67,Andrew Bragg,Jock Phillips,1
68,Andrew Bragg,Julia Gillard,1
69,Andrew Bragg,Justice Susan Kiefel,1
70,Andrew Bragg,Luci Ellis,1
71,Andrew Bragg,Nick Mckim,1
72,Andrew Bragg,Peter Costello,1
73,Andrew Bragg,Peter Dutton,1
74,Andrew Forrest,Adam Boyton,1
75,Andrew Forrest,Andrew Bragg,1
76,Andrew Forrest,Barack Obama,1
77,Andrew Forrest,Bob Johnston,1
78,Andrew Forrest,Dame Quentin Bryce,1
79,Andrew Forrest,Gail Kelly,1
80,Andrew Forrest,Glenn Stevens,1
81,Andrew Forrest,Harry Knight,1
82,Andrew Forrest,Ian Macfarlane,1
83,Andrew Forrest,Janet Yellen,1
84,Andrew Forrest,Jenny Wilkinson,1
85,Andrew Forrest,Jock Phillips,1
86,Andrew Forrest,Josh Frydenberg,1
87,Andrew Forrest,Julia Gillard,1
88,Andrew Forrest,Justice Susan Kiefel,1
89,Andrew Forrest,Luci Ellis,1
90,Andrew Forrest,Nick Mckim,1
91,Andrew Forrest,Nicola Forrest,1
92,Andrew Forrest,Peter Costello,1
93,Andrew Forrest,Peter Dutton,1
94,Andrew Forrest,Steven Kennedy,1
95,Andrew Hastie,Anthony Albanese,1
96,Andrew Hastie,James Peterson,1
97,Andrew Hastie,Joe Biden,3
98,Andrew Hastie,Justin Trudeau,3
99,Andrew Hirst,Jason Falinski,2
100,Andrew Hirst,Jeremy Rockliff,2
101,Andrew Hirst,John Pesutto,2
102,Andrew Leigh,Isaac Gross,81
103,Andrew Whitecross,Catherine Holmes,48
104,Andrew Whitecross,David Hurley,1
105,Andrew Whitecross,Jack Waterford,48
106,Andrew Whitecross,Mark Dreyfus,48
107,Andrew Whitecross,Reece Kershaw,48
108,Angus King,Anthony Albanese,1
109,Angus King,Ben Wallace,1
110,Angus King,Edi Rama,1
111,Angus King,James Cleverly,1
112,Angus King,Petr Fiala,1
113,Angus King,Vladimir Putin,1
114,Angus King,Yoon Suk Yeol,1
115,Angus Taylor,Chris Bowen,1
116,Angus Taylor,Danielle Wood,1
117,Angus Taylor,Gary Ramage,4
118,Angus Taylor,Innes Willox,1
119,Angus Taylor,Karen Barlow,4
120,Angus Taylor,Karl Stefanovic,4
121,Angus Taylor,Martin Ollman Deputy,4
122,Angus Taylor,Peter Dutton,1
123,Angus Taylor,Richard Marles,4
124,Angus Taylor,Sarah Basford Canales,4
125,Angus Taylor,Steven Hamilton,1
126,Anna Kwok,Anthony Albanese,1
127,Anna Kwok,Brendan Clift,1
128,Anna Kwok,Dennis Kwok,1
129,Anna Kwok,Finn Lau,1
130,Anna Kwok,Hong Konger,1
131,Anna Kwok,John Lee,1
132,Anthony Albanese,Adam Boyton,1
133,Anthony Albanese,Alex Carey,1
134,Anthony Albanese,Alex Hawke,2
135,Anthony Albanese,Ali Alatas,1
136,Anthony Albanese,Andrew Bragg,1
137,Anthony Albanese,Andrew Forrest,3
138,Anthony Albanese,Andrew Hastie,4
139,Anthony Albanese,Andrew Hirst,2
140,Anthony Albanese,Andrew Leigh,82
141,Anthony Albanese,Andrew Whitecross,48
142,Anthony Albanese,Angus Taylor,10
143,Anthony Albanese,Asia Pacific,1
144,Anthony Albanese,Barack Obama,1
145,Anthony Albanese,Barnaby Joyce,7
146,Anthony Albanese,Barney Glover,1
147,Anthony Albanese,Ben Stokes,1
148,Anthony Albanese,Ben Wallace,3
149,Anthony Albanese,Bernie Fraser,1
150,Anthony Albanese,Bob Hawke,1
151,Anthony Albanese,Bob Johnston,1
152,Anthony Albanese,Bob Katter,1
153,Anthony Albanese,Brendan Clift,1
154,Anthony Albanese,Cameron Bancroft,1
155,Anthony Albanese,Catherine Holmes,49
156,Anthony Albanese,Celia Mendoza,2
157,Anthony Albanese,Chris Bowen,1
158,Anthony Albanese,Chris Hipkins,4
159,Anthony Albanese,Chris Minns,1
160,Anthony Albanese,Chris Woakes,1
161,Anthony Albanese,Christian Porter,48
162,Anthony Albanese,Chuen Cheng,4
163,Anthony Albanese,Dame Quentin Bryce,1
164,Anthony Albanese,Damian Shaw,1
165,Anthony Albanese,Danielle Wood,1
166,Anthony Albanese,David Crosling,4
167,Anthony Albanese,David Gruen,4
168,Anthony Albanese,David Hurley,1
169,Anthony Albanese,David Warner,1
170,Anthony Albanese,Deborah Bateson,4
171,Anthony Albanese,Ed Husic,1
172,Anthony Albanese,Evelyn Goh,1
173,Anthony Albanese,Fumio Kishida,4
174,Anthony Albanese,Gail Kelly,1
175,Anthony Albanese,Gareth Gardner,7
176,Anthony Albanese,Gary Ramage,52
177,Anthony Albanese,Glenn Stevens,2
178,Anthony Albanese,Gough Whitlam,2
179,Anthony Albanese,Han Xiao Zhang,1
